issue_date,series,security_type,cusip,maturity_date,rate,total_issue_amt,investor_class,allotment_amt
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,"(SOMA) 
 Federal 
 Reserve 
 banks",0.540923
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,"Dealers 
 and 
 brokers",18.559792
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,"Depository 
 institutions",0.0699
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,"Foreign 
 and  
 international",5.3015
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,Individuals,0.7476369
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,"Investment 
 funds",11.2623948
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,"Other 
 (see category 
 description)",0.031
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.03
2020-01-09,Bills,,912796WW5,2020-07-09,1.52,,"Total 
 issue",36.5431467
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,"(SOMA) 
 Federal 
 Reserve 
 banks",2.1621334
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,"Dealers 
 and 
 brokers",16.794352
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,"Depository 
 institutions",0.1296
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,"Foreign 
 and  
 international",1.07069
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,Individuals,1.5598114
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,"Investment 
 funds",15.4266622
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,"Other 
 (see category 
 description)",0.02
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,"Pension 
 and  
 Retirement 
 funds and 
 Ins. Co.",0.0
2020-01-14,Bills,,912796WS4,2020-02-11,1.49,,"Total 
 issue",37.163249
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,"(SOMA) 
 Federal 
 Reserve 
 banks",2.1621333
2020-01-14,Bills,,912796XA2,2020-03-10,1.515,,"Dealers 
 and 
 brokers",26.5766
